code_insee,population,P15_POP,croissance_pop,dep,nb_banques_classiques,nb_services_financiers,nb_equipements_eco,nb_equipements_services,revenu_median,commune,densite_equip_eco,densite_equip_ser,densite_banques,densite_services_fin,pop_norm,eco_norm,ser_norm,bank_norm,revenu_norm,croissance_norm,score_potentiel,score_saturation,score_final,rang_score,potentiel,CLUSTER,cluster_label
43012,6171,6102,1.1307767945,43,1,3,127,43,23200,Aurec-sur-Loire,20.58013288,6.9680764868,0.1620482904,0.4861448712,0.0356059202,0.3002828284,0.0909334011,0.0606600733,0.4725274725,0.3117928227,0.2526959604,0.0606600733,0.2373674049,1,Potentiel moyen,3,Cluster 3
43018,1382,1328,4.0662650602,43,0,1,27,19,22230,Bains,19.536903039,13.748191027,0,0.7235890014,0.00787511,0.2850611576,0.1794138987,0,0.4133089133,0.3525758582,0.2529293505,0,0.2529293505,1,Potentiel moyen,3,Cluster 3
43020,4546,4333,4.915762751,43,0,3,119,30,23380,Bas-en-Basset,26.176858777,6.599208095,0,0.6599208095,0.0261963219,0.3819441419,0.0861196684,0,0.4835164835,0.3643780156,0.2832221499,0,0.2832221499,2,Potentiel élevé,3,Cluster 3
43021,1046,1018,2.7504911591,43,0,1,22,17,22380,Beaulieu,21.03250478,16.252390057,0,0.9560229446,0.0059294946,0.3068833453,0.2120936971,0,0.4224664225,0.3342956782,0.2610732099,0,0.2610732099,2,Potentiel élevé,3,Cluster 3
43025,2971,2904,2.3071625344,43,0,1,62,26,23110,Beauzac,20.86839448,8.7512622013,0,0.3365870077,0.0170762496,0.3044888269,0.1142039754,0,0.467032967,0.3281364688,0.2557019401,0,0.2557019401,1,Potentiel moyen,3,Cluster 3
43032,1706,1654,3.1438935913,43,0,1,28,20,24490,Blavozy,16.412661196,11.723329426,0,0.5861664713,0.0097512392,0.2394756319,0.152989454,0,0.5512820513,0.339761258,0.2629762358,0,0.2629762358,2,Potentiel élevé,4,Cluster 4
43038,1027,1001,2.5974025974,43,0,1,21,10,21230,Bournoncle-Saint-Pierre,20.447906524,9.7370983447,0,0.9737098345,0.0058194747,0.2983535258,0.1270691375,0,0.3522588523,0.3321688034,0.2316981781,0,0.2316981781,1,Potentiel moyen,3,Cluster 3
43040,6518,6743,-3.336793712,43,6,10,247,92,20340,Brioude,37.895059834,14.114759129,0.9205277693,1.5342129488,0.0376152314,0.5529233371,0.1841976126,0.344584209,0.2979242979,0.2497244135,0.2829132647,0.344584209,0.1854258212,0,Potentiel faible,1,Cluster 1
43041,4246,4103,3.4852546917,43,4,5,187,59,20830,Brives-Charensac,44.041450777,13.895430994,0.9420631182,1.1775788978,0.0244591652,0.6426047628,0.1813353804,0.3526456075,0.3278388278,0.3445038224,0.3272118608,0.3526456075,0.2118220354,0,Potentiel faible,1,Cluster 1
43046,2463,2583,-4.645760743,43,0,2,53,45,22440,Chadrac,21.518473406,18.270401949,0,0.8120178644,0.0141346644,0.3139740688,0.2384287532,0,0.4261294261,0.2315388021,0.2486184087,0,0.2486184087,1,Potentiel moyen,3,Cluster 3
