DEPCOM,Libelle_DOM,Libelle_SDOM,Libelle_TYPEQU,SIRET,TYPEQU
42001,Enseignement,Formation continue,ORGANISME DE FORMATION EN APPRENTISSAGE,84386691400016,C610
42001,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),INFIRMIER,"",D281
42001,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),MASSEUR KINÉSITHÉRAPEUTE,"",D279
42001,Services pour les particuliers,Artisanat du bâtiment,ÉLECTRICIEN,48213998700028,A405
42001,Services pour les particuliers,Artisanat du bâtiment,ÉLECTRICIEN,84866360500014,A405
42001,Services pour les particuliers,Artisanat du bâtiment,MAÇON,48518694400016,A401
42001,Services pour les particuliers,Artisanat du bâtiment,MENUISIER CHARPENTIER SERRURIER,81349210500016,A403
42001,Services pour les particuliers,Autres services,AGENCE IMMOBILIÈRE,91932506800014,A505
42001,Services pour les particuliers,Autres services,COIFFURE,52867593700031,A501
42001,Services pour les particuliers,Autres services,COIFFURE,79489672000016,A501
42001,Services pour les particuliers,Autres services,INSTITUT DE BEAUTÉ-ONGLERIE,50159275200056,A507
42001,Services pour les particuliers,Services automobiles,ÉCOLE DE CONDUITE,91883519000011,A304
42001,Services pour les particuliers,Services automobiles,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,41840716900014,A301
42001,Services pour les particuliers,Services automobiles,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,90944477000012,A301
42001,Services pour les particuliers,Services publics,MAIRIE,"",A129
42001,"Sports, loisirs et culture",Equipements de loisirs,BOUCLE DE RANDONNÉE ET PARCOURS DE COURSE D’ORIENTATION,"",F203
42001,"Sports, loisirs et culture",Equipements sportifs,BOULODROME,"",F102
42002,Enseignement,Enseignement du premier degré,ÉCOLE PRIMAIRE,21420035400030,C108
42002,Services pour les particuliers,Artisanat du bâtiment,MENUISIER CHARPENTIER SERRURIER,90873778600016,A403
42002,Services pour les particuliers,Services automobiles,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,94946784900012,A301
42002,Services pour les particuliers,Services publics,MAIRIE,"",A129
42002,"Sports, loisirs et culture",Equipements sportifs,BOULODROME,"",F102
42002,"Sports, loisirs et culture",Equipements sportifs,PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS,"",F111
42003,Commerces,Commerces alimentaires,BOULANGERIE-PÂTISSERIE,85242649300015,B207
42003,Commerces,Commerces alimentaires,BOULANGERIE-PÂTISSERIE,95335892600012,B207
42003,Commerces,Commerces alimentaires,ÉPICERIE,88188194000012,B202
42003,Commerces,Commerces spécialisés non-alimentaires,COMMERCE DE BIENS D’OCCASION,39430630200032,B323
42003,Commerces,Commerces spécialisés non-alimentaires,COMMERCE DE COMBUSTIBLES DOMESTIQUES,82265102200011,B320
42003,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MATÉRIELS DE TÉLÉCOMMUNICATION,91409518700011,B322
42003,Commerces,Commerces spécialisés non-alimentaires,STATION DE RECHARGE DE VÉHICULES ÉLECTRIQUES,"",B326
42003,Enseignement,Enseignement du premier degré,ÉCOLE PRIMAIRE,21420003200057,C108
42003,Santé et action sociale,Action sociale pour enfants en bas-âge,ACCUEIL DE LOISIR SANS HÉBERGEMENT,"",D505
42003,Santé et action sociale,Autres établissements et services à caractère sanitaire,PHARMACIE,79341669400024,D307
42003,Santé et action sociale,Etablissements et services de santé,MAISON DE SANTÉ PLURIDISCIPLINAIRE,83091947800016,D113
42003,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),INFIRMIER,"",D281
42003,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),MASSEUR KINÉSITHÉRAPEUTE,"",D279
42003,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),MÉDECIN GÉNÉRALISTE,48015846800011,D265
42003,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),MÉDECIN GÉNÉRALISTE,49981324400013,D265
42003,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),MÉDECIN GÉNÉRALISTE,85255009400019,D265
42003,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),PSYCHOLOGUE,"",D250
42003,Services pour les particuliers,Artisanat du bâtiment,ÉLECTRICIEN,39243713300029,A405
42003,Services pour les particuliers,Artisanat du bâtiment,ÉLECTRICIEN,87800001700011,A405
42003,Services pour les particuliers,Artisanat du bâtiment,ÉLECTRICIEN,88004987900013,A405
42003,Services pour les particuliers,Artisanat du bâtiment,ÉLECTRICIEN,91083493600015,A405
42003,Services pour les particuliers,Artisanat du bâtiment,MAÇON,44467706600037,A401
42003,Services pour les particuliers,Artisanat du bâtiment,MAÇON,45099213600025,A401
42003,Services pour les particuliers,Artisanat du bâtiment,MAÇON,52404312200018,A401
42003,Services pour les particuliers,Artisanat du bâtiment,MAÇON,80324389800027,A401
42003,Services pour les particuliers,Artisanat du bâtiment,MAÇON,90811511600018,A401
42003,Services pour les particuliers,Artisanat du bâtiment,MAÇON,95405837600011,A401
42003,Services pour les particuliers,Artisanat du bâtiment,MAÇON,97919943700026,A401
42003,Services pour les particuliers,Artisanat du bâtiment,MENUISIER CHARPENTIER SERRURIER,38043378900027,A403
42003,Services pour les particuliers,Artisanat du bâtiment,MENUISIER CHARPENTIER SERRURIER,44402633000027,A403
42003,Services pour les particuliers,Artisanat du bâtiment,MENUISIER CHARPENTIER SERRURIER,80965468400012,A403
42003,Services pour les particuliers,Artisanat du bâtiment,MENUISIER CHARPENTIER SERRURIER,82522747300014,A403
42003,Services pour les particuliers,Artisanat du bâtiment,MENUISIER CHARPENTIER SERRURIER,90931615000012,A403
42003,Services pour les particuliers,Artisanat du bâtiment,MENUISIER CHARPENTIER SERRURIER,92048518200017,A403
42003,Services pour les particuliers,Artisanat du bâtiment,PLÂTRIER PEINTRE,45087123100046,A402
42003,Services pour les particuliers,Artisanat du bâtiment,PLÂTRIER PEINTRE,51000463300036,A402
42003,Services pour les particuliers,Artisanat du bâtiment,PLÂTRIER PEINTRE,78859748200017,A402
42003,Services pour les particuliers,Artisanat du bâtiment,PLÂTRIER PEINTRE,82336912900023,A402
42003,Services pour les particuliers,Artisanat du bâtiment,PLÂTRIER PEINTRE,82445053000038,A402
42003,Services pour les particuliers,Artisanat du bâtiment,PLÂTRIER PEINTRE,90118534800017,A402
42003,Services pour les particuliers,Artisanat du bâtiment,PLOMBIER COUVREUR CHAUFFAGISTE,42969403700038,A404
42003,Services pour les particuliers,Artisanat du bâtiment,PLOMBIER COUVREUR CHAUFFAGISTE,45169500100029,A404
42003,Services pour les particuliers,Artisanat du bâtiment,PLOMBIER COUVREUR CHAUFFAGISTE,51866738100025,A404
42003,Services pour les particuliers,Artisanat du bâtiment,PLOMBIER COUVREUR CHAUFFAGISTE,92248048800019,A404
42003,Services pour les particuliers,Autres services,AGENCE IMMOBILIÈRE,90121490800013,A505
42003,Services pour les particuliers,Autres services,AGENCE IMMOBILIÈRE,98199299300015,A505
42003,Services pour les particuliers,Autres services,COIFFURE,32969638900017,A501
42003,Services pour les particuliers,Autres services,COIFFURE,41470569900026,A501
42003,Services pour les particuliers,Autres services,INSTITUT DE BEAUTÉ-ONGLERIE,82362409300030,A507
42003,Services pour les particuliers,Autres services,INSTITUT DE BEAUTÉ-ONGLERIE,83780061400039,A507
42003,Services pour les particuliers,Autres services,RESTAURANT- RESTAURATION RAPIDE,33789027100014,A504
42003,Services pour les particuliers,Autres services,RESTAURANT- RESTAURATION RAPIDE,38065648800158,A504
42003,Services pour les particuliers,Autres services,RESTAURANT- RESTAURATION RAPIDE,44013919400011,A504
42003,Services pour les particuliers,Autres services,RESTAURANT- RESTAURATION RAPIDE,52989218400019,A504
42003,Services pour les particuliers,Autres services,RESTAURANT- RESTAURATION RAPIDE,88320263200013,A504
42003,Services pour les particuliers,Services automobiles,ÉCOLE DE CONDUITE,48020648100107,A304
42003,Services pour les particuliers,Services automobiles,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,80856119500021,A301
42003,Services pour les particuliers,Services automobiles,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,91183777100011,A301
42003,Services pour les particuliers,Services généraux,RELAIS POSTE,"",A207
42003,Services pour les particuliers,Services publics,MAIRIE,"",A129
42003,"Sports, loisirs et culture",Equipements culturels et socioculturels,BIBLIOTHÈQUE,"",F307
42003,"Sports, loisirs et culture",Equipements culturels et socioculturels,EXPOSITION ET MÉDIATION CULTURELLE,"",F312
42003,"Sports, loisirs et culture",Equipements de loisirs,BOUCLE DE RANDONNÉE ET PARCOURS DE COURSE D’ORIENTATION,"",F203
42003,"Sports, loisirs et culture",Equipements sportifs,CENTRE ÉQUESTRE,"",F106
42003,"Sports, loisirs et culture",Equipements sportifs,PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS,"",F111
42003,"Sports, loisirs et culture",Equipements sportifs,"SALLES MULTISPORTS, GYMNASES","",F121
42003,"Sports, loisirs et culture",Equipements sportifs,SALLES NON SPÉCIALISÉES,"",F116
42003,"Sports, loisirs et culture",Equipements sportifs,TERRAINS DE GRANDS JEUX,"",F113
42003,Tourisme,Tourisme,INFORMATION TOURISTIQUE,43211883400014,G104
42005,Commerces,Commerces alimentaires,AUTRES COMMERCES ALIMENTAIRES,37811092800025,B210
42005,Commerces,Commerces alimentaires,AUTRES COMMERCES ALIMENTAIRES,80315832800028,B210
42005,Commerces,Commerces alimentaires,AUTRES COMMERCES ALIMENTAIRES,81363768300026,B210
42005,Commerces,Commerces alimentaires,AUTRES COMMERCES ALIMENTAIRES,88899288000011,B210
42005,Commerces,Commerces alimentaires,AUTRES COMMERCES ALIMENTAIRES,89029749200013,B210
42005,Commerces,Commerces alimentaires,AUTRES COMMERCES ALIMENTAIRES,94953813600019,B210
42005,Commerces,Commerces alimentaires,BOUCHERIE CHARCUTERIE,40239547900031,B204
42005,Commerces,Commerces alimentaires,BOUCHERIE CHARCUTERIE,49992119500297,B204
42005,Commerces,Commerces alimentaires,BOUCHERIE CHARCUTERIE,87875038900016,B204
42005,Commerces,Commerces alimentaires,BOUCHERIE CHARCUTERIE,92236642200017,B204
42005,Commerces,Commerces alimentaires,BOULANGERIE-PÂTISSERIE,42110499300041,B207
42005,Commerces,Commerces alimentaires,BOULANGERIE-PÂTISSERIE,47845579300537,B207
42005,Commerces,Commerces alimentaires,BOULANGERIE-PÂTISSERIE,48234097300254,B207
42005,Commerces,Commerces alimentaires,BOULANGERIE-PÂTISSERIE,48428703200029,B207
42005,Commerces,Commerces alimentaires,BOULANGERIE-PÂTISSERIE,53223863100016,B207
42005,Commerces,Commerces alimentaires,BOULANGERIE-PÂTISSERIE,75269159200014,B207
42005,Commerces,Commerces alimentaires,BOULANGERIE-PÂTISSERIE,82002711800018,B207
42005,Commerces,Commerces alimentaires,BOULANGERIE-PÂTISSERIE,84842666400027,B207
42005,Commerces,Commerces alimentaires,BOULANGERIE-PÂTISSERIE,88836971700010,B207
42005,Commerces,Commerces alimentaires,BOULANGERIE-PÂTISSERIE,89061805100019,B207
42005,Commerces,Commerces alimentaires,BOULANGERIE-PÂTISSERIE,91153148100016,B207
42005,Commerces,Commerces alimentaires,BOULANGERIE-PÂTISSERIE,95250871100027,B207
42005,Commerces,Commerces alimentaires,BOULANGERIE-PÂTISSERIE,95378578900017,B207
42005,Commerces,Commerces alimentaires,COMMERCE DE BOISSONS,91519894900017,B209
42005,Commerces,Commerces alimentaires,COMMERCE SPÉCIALISÉ EN FRUITS ET LÉGUMES,48762325800026,B208
42005,Commerces,Commerces alimentaires,COMMERCE SPÉCIALISÉ EN FRUITS ET LÉGUMES,81926150400016,B208
42005,Commerces,Commerces alimentaires,COMMERCE SPÉCIALISÉ EN FRUITS ET LÉGUMES,88238210400025,B208
42005,Commerces,Commerces alimentaires,ÉPICERIE,43275446300128,B202
42005,Commerces,Commerces alimentaires,ÉPICERIE,82995768700025,B202
42005,Commerces,Commerces alimentaires,ÉPICERIE,83439472800135,B202
42005,Commerces,Commerces alimentaires,ÉPICERIE,88091700000064,B202
42005,Commerces,Commerces alimentaires,ÉPICERIE,90344479200019,B202
42005,Commerces,Commerces alimentaires,ÉPICERIE,90943417700012,B202
42005,Commerces,Commerces alimentaires,ÉPICERIE,91187839500043,B202
42005,Commerces,Commerces alimentaires,ÉPICERIE,91376618400018,B202
42005,Commerces,Commerces alimentaires,POISSONNERIE,41434532200047,B206
42005,Commerces,Commerces alimentaires,POISSONNERIE,88410251800013,B206
42005,Commerces,Commerces alimentaires,PRODUITS SURGELÉS,78493968808638,B205
42005,Commerces,Commerces alimentaires,SUPÉRETTE,80433618800037,B201
42005,Commerces,Commerces spécialisés non-alimentaires,COMMERCE DE JEUX ET JOUETS,48321651100038,B318
42005,Commerces,Commerces spécialisés non-alimentaires,COMMERCE DE JEUX ET JOUETS,91377683700019,B318
42005,Commerces,Commerces spécialisés non-alimentaires,COMMERCE DE TISSUS ET MERCERIE,81778505800030,B317
42005,Commerces,Commerces spécialisés non-alimentaires,COMMERCE DE TISSUS ET MERCERIE,83844254900013,B317
42005,Commerces,Commerces spécialisés non-alimentaires,DROGUERIE QUINCAILLERIE BRICOLAGE,51492787000022,B309
42005,Commerces,Commerces spécialisés non-alimentaires,DROGUERIE QUINCAILLERIE BRICOLAGE,52946153500013,B309
42005,Commerces,Commerces spécialisés non-alimentaires,DROGUERIE QUINCAILLERIE BRICOLAGE,57450203500110,B309
42005,Commerces,Commerces spécialisés non-alimentaires,DROGUERIE QUINCAILLERIE BRICOLAGE,81412732000012,B309
42005,Commerces,Commerces spécialisés non-alimentaires,DROGUERIE QUINCAILLERIE BRICOLAGE,83966447100027,B309
42005,Commerces,Commerces spécialisés non-alimentaires,DROGUERIE QUINCAILLERIE BRICOLAGE,84396178000015,B309
42005,Commerces,Commerces spécialisés non-alimentaires,DROGUERIE QUINCAILLERIE BRICOLAGE,94997301000026,B309
42005,Commerces,Commerces spécialisés non-alimentaires,FLEURISTE-JARDINERIE-ANIMALERIE,80901346900014,B312
42005,Commerces,Commerces spécialisés non-alimentaires,FLEURISTE-JARDINERIE-ANIMALERIE,91490204400017,B312
42005,Commerces,Commerces spécialisés non-alimentaires,FLEURISTE-JARDINERIE-ANIMALERIE,97940205400014,B312
42005,Commerces,Commerces spécialisés non-alimentaires,HORLOGERIE-BIJOUTERIE,44326483300056,B311
42005,Commerces,Commerces spécialisés non-alimentaires,HORLOGERIE-BIJOUTERIE,83943309100049,B311
42005,Commerces,Commerces spécialisés non-alimentaires,HORLOGERIE-BIJOUTERIE,89116881700015,B311
42005,Commerces,Commerces spécialisés non-alimentaires,LIBRAIRIE,53342799300027,B324
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN D’ARTICLES DE SPORTS ET DE LOISIRS,43010122000035,B307
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN D’ARTICLES DE SPORTS ET DE LOISIRS,48041483800056,B307
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN D’ARTICLES DE SPORTS ET DE LOISIRS,48764966700028,B307
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN D’ARTICLES DE SPORTS ET DE LOISIRS,97770864300019,B307
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN D’ÉQUIPEMENTS DU FOYER,44893090900032,B303
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN D’ÉQUIPEMENTS DU FOYER,50538774600041,B303
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN D’ÉQUIPEMENTS DU FOYER,51004969500016,B303
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN D’ÉQUIPEMENTS DU FOYER,53536238800014,B303
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN D’ÉQUIPEMENTS DU FOYER,90520347700013,B303
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN D’OPTIQUE,34922917900024,B313
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN D’OPTIQUE,38523056000117,B313
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN D’OPTIQUE,49278795706048,B313
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN D’OPTIQUE,50465320500014,B313
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN D’OPTIQUE,53241356400024,B313
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN D’OPTIQUE,80035473000015,B313
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN D’OPTIQUE,83123335800017,B313
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN D’OPTIQUE,91188660400014,B313
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE CHAUSSURES,32242434203246,B304
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE CHAUSSURES,85254854400034,B304
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE CHAUSSURES,88755127300022,B304
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE CHAUSSURES,91455086800014,B304
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MATÉRIEL MÉDICAL ET ORTHOPÉDIQUE,30889577004591,B315
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,39434397400058,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,39909842500032,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,49136398200027,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,50224578000015,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,50298289500034,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,63450065600059,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,75322180300467,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,81757384300023,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,83073985000022,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,83995796600014,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,88102168700010,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,88725050400099,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,89278387900018,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,89333190000017,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,90394417100011,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,90756401700024,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,97752571600014,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,98128192600023,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,98194424200016,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE MEUBLES,98194665000018,B306
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE VÊTEMENTS,49513358900053,B302
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE VÊTEMENTS,75208213100026,B302
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE VÊTEMENTS,79210618900022,B302
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE VÊTEMENTS,79210618900030,B302
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE VÊTEMENTS,79875023800023,B302
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE VÊTEMENTS,80987786300013,B302
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE VÊTEMENTS,83511919900015,B302
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE VÊTEMENTS,83917071900018,B302
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE VÊTEMENTS,84131259800011,B302
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE VÊTEMENTS,85098333900019,B302
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE VÊTEMENTS,90503610900015,B302
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE VÊTEMENTS,94783676300013,B302
42005,Commerces,Commerces spécialisés non-alimentaires,MAGASIN DE VÊTEMENTS,94869030000025,B302
42005,Commerces,Commerces spécialisés non-alimentaires,"MAGASIN ÉLECTROMÉNAGER, MATÉRIEL AUDIO VIDÉO INFORMATIQUE",48178341300034,B321
42005,Commerces,Commerces spécialisés non-alimentaires,"MAGASIN ÉLECTROMÉNAGER, MATÉRIEL AUDIO VIDÉO INFORMATIQUE",79407937600016,B321
42005,Commerces,Commerces spécialisés non-alimentaires,"MAGASIN ÉLECTROMÉNAGER, MATÉRIEL AUDIO VIDÉO INFORMATIQUE",90318769800019,B321
42005,Commerces,Commerces spécialisés non-alimentaires,"MAGASIN ÉLECTROMÉNAGER, MATÉRIEL AUDIO VIDÉO INFORMATIQUE",94984744600018,B321
42005,Commerces,Commerces spécialisés non-alimentaires,MAROQUINERIE ET ARTICLES DE VOYAGE,33461065600095,B319
42005,Commerces,Commerces spécialisés non-alimentaires,MAROQUINERIE ET ARTICLES DE VOYAGE,42892267800019,B319
42005,Commerces,Commerces spécialisés non-alimentaires,PAPETERIE ET PRESSE,47786374000015,B325
42005,Commerces,Commerces spécialisés non-alimentaires,PAPETERIE ET PRESSE,81926194200026,B325
42005,Commerces,Commerces spécialisés non-alimentaires,PARFUMERIE-COSMÉTIQUE,50315198700032,B310
42005,Commerces,Commerces spécialisés non-alimentaires,PARFUMERIE-COSMÉTIQUE,92236249600015,B310
42005,Commerces,Commerces spécialisés non-alimentaires,STATION DE RECHARGE DE VÉHICULES ÉLECTRIQUES,"",B326
42005,Commerces,Commerces spécialisés non-alimentaires,STATION-SERVICE,"",B316
42005,Commerces,Grandes surfaces,GRANDE SURFACE DE BRICOLAGE,42298238900013,B103
42005,Commerces,Grandes surfaces,GRANDE SURFACE DE BRICOLAGE,79868757000019,B103
42005,Commerces,Grandes surfaces,HYPERMARCHÉ ET GRAND MAGASIN,33937746700024,B104
42005,Commerces,Grandes surfaces,SUPERMARCHÉ ET MAGASIN MULTI-COMMERCE,85155474100013,B105
42005,Commerces,Grandes surfaces,SUPERMARCHÉ ET MAGASIN MULTI-COMMERCE,91967955500012,B105
42005,Enseignement,Enseignement du premier degré,ÉCOLE PRIMAIRE,21420005700047,C108
42005,Enseignement,Enseignement du premier degré,ÉCOLE PRIMAIRE,21420005700088,C108
42005,Enseignement,Enseignement du premier degré,ÉCOLE PRIMAIRE,21420005700112,C108
42005,Enseignement,Enseignement du premier degré,ÉCOLE PRIMAIRE,21420005700120,C108
42005,Enseignement,Enseignement du premier degré,ÉCOLE PRIMAIRE,77628711200010,C108
42005,Enseignement,Enseignement du second degré - premier cycle,COLLÈGE,19421487000017,C201
42005,Enseignement,Enseignement du second degré - second cycle,LYCÉE D’ENSEIGNEMENT GÉNÉRAL ET/OU TECHNOLOGIQUE,19421976200011,C301
42005,Enseignement,Enseignement du second degré - second cycle,LYCÉE D’ENSEIGNEMENT PROFESSIONNEL,19421691700014,C302
42005,Enseignement,Formation continue,ORGANISME DE FORMATION EN APPRENTISSAGE,19421691700014,C610
42005,Enseignement,Formation continue,ORGANISME DE FORMATION EN APPRENTISSAGE,19421976200011,C610
42005,Enseignement,Formation continue,ORGANISME DE FORMATION EN APPRENTISSAGE,47914022000043,C610
42005,Enseignement,Formation continue,ORGANISME DE FORMATION EN APPRENTISSAGE,89159011900030,C610
42005,Santé et action sociale,Action sociale pour enfants en bas-âge,ACCUEIL DE LOISIR SANS HÉBERGEMENT,"",D505
42005,Santé et action sociale,Action sociale pour enfants en bas-âge,CENTRES SOCIAUX,"",D506
42005,Santé et action sociale,Action sociale pour enfants en bas-âge,ÉTABLISSEMENT D’ACCUEIL DU JEUNE ENFANT,"",D502
42005,Santé et action sociale,Action sociale pour enfants en bas-âge,LIEUX D'ACCUEIL ENFANT-PARENT,"",D503
42005,Santé et action sociale,Action sociale pour enfants en bas-âge,RELAIS PETITE ENFANCE,"",D504
42005,Santé et action sociale,Action sociale pour handicapés,ADULTES HANDICAPÉS : SERVICES DE SOINS À DOMICILE,40303041400011,D606
42005,Santé et action sociale,Action sociale pour handicapés,ENFANTS HANDICAPÉS : HÉBERGEMENT,"",D601
42005,Santé et action sociale,Action sociale pour handicapés,ENFANTS HANDICAPÉS : HÉBERGEMENT,80125271901124,D601
42005,Santé et action sociale,Action sociale pour personnes âgées,PERSONNES ÂGÉES : HÉBERGEMENT,26420001500024,D401
42005,Santé et action sociale,Action sociale pour personnes âgées,PERSONNES ÂGÉES : SERVICES D’AIDE,40303041400045,D403
42005,Santé et action sociale,Action sociale pour personnes âgées,PERSONNES ÂGÉES : SOINS À DOMICILE,40303041400011,D402
42005,Santé et action sociale,Autres établissements et services à caractère sanitaire,AMBULANCE,80269181600028,D303
42005,Santé et action sociale,Autres établissements et services à caractère sanitaire,AMBULANCE,80282929100029,D303
42005,Santé et action sociale,Autres établissements et services à caractère sanitaire,LABORATOIRE D ANALYSES ET DE BIOLOGIE MÉDICALE,51348700900112,D302
42005,Santé et action sociale,Autres établissements et services à caractère sanitaire,PHARMACIE,42060622000010,D307
42005,Santé et action sociale,Autres établissements et services à caractère sanitaire,PHARMACIE,75215145600015,D307
42005,Santé et action sociale,Autres établissements et services à caractère sanitaire,PHARMACIE,80284931500014,D307
42005,Santé et action sociale,Autres services d'action sociale,AUTRES HÉBERGEMENTS POUR ADULTES ET FAMILLES EN DIFFICULTÉ,77564827200208,D710
42005,Santé et action sociale,Autres services d'action sociale,AUTRES HÉBERGEMENTS POUR ADULTES ET FAMILLES EN DIFFICULTÉ,78805803008779,D710
42005,Santé et action sociale,Etablissements et services de santé,ÉTABLISSEMENT PSYCHIATRIQUE,"",D104
42005,Santé et action sociale,Etablissements et services de santé,STRUCTURE PSYCHIATRIQUE EN AMBULATOIRE,26420030400428,D109
42005,Santé et action sociale,Etablissements et services de santé,STRUCTURE PSYCHIATRIQUE EN AMBULATOIRE,26420030400501,D109
42005,Santé et action sociale,Etablissements et services de santé,STRUCTURE PSYCHIATRIQUE EN AMBULATOIRE,26420030400790,D109
42005,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),CHIRURGIEN DENTISTE,"",D277
42005,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),CHIRURGIEN DENTISTE,47794230400023,D277
42005,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),CHIRURGIEN DENTISTE,50087351800020,D277
42005,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),CHIRURGIEN DENTISTE,51903026600018,D277
42005,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),CHIRURGIEN DENTISTE,80462994700016,D277
42005,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),CHIRURGIEN DENTISTE,84985904600013,D277
42005,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),CHIRURGIEN DENTISTE,90321202500014,D277
42005,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),CHIRURGIEN DENTISTE,90932692800019,D277
42005,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),CHIRURGIEN DENTISTE,98323096200018,D277
42005,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),INFIRMIER,"",D281
42005,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),MASSEUR KINÉSITHÉRAPEUTE,"",D279
42005,Santé et action sociale,Fonctions médicales et paramédicales (à titre libéral),MÉDECIN GÉNÉRALISTE,"",D265
